product_id|page_id|exposures|purchases|Nhelp|Nnothelp|verified|price|valence|category_name_complete|brand_name|review_comments
7911585|206463|60|2|1|0|0|14.99|4|NonRx:diet & fitness:fitness equipment:core & resistance training:|J-Fit|Bought to strengthen feet and ankles (posterior tibial tendonitis). Like that there are 2 pods so I can work both feet together or separately.  The pods are a bit small, my toes hang over the edges when flat side up. Also, the nubs are a bit large and uncomfortable when barefoot and using them flat side down. Other then that I like how versatile they are and how I am able to incorporate them into my training.
7916993|232614|75|2|0|0|0|11.7|2|NonRx:beauty:hair care:salon hair care:salon conditioners:deep treatment:|Avlon|Read the instructions. This is not your typical conditioner. This is a heavy-duty conditioner that left residue in my hair.  It looked and felt awful.
7916993|232614|75|2|0|0|0|11.7|2|NonRx:beauty:hair care:salon hair care:salon conditioners:deep treatment:|Avlon|Read the instructions. This is not your typical conditioner. This is a heavy-duty conditioner that left residue in my hair.  It looked and felt awful.
7983570|226981|93|14|0|0|0|11.155504587|5|NonRx:baby & mom:mom & maternity:skin care:|Lansinoh|My son and I had trouble getting his latch correct when he was first born. In just a couple of days, with him constantly on the breast, my nipples were raw and painful. Lanolin cream did nothing to soothe them. If it were not for my lactation consultant introducing me to Soothies, I don't know if I would have continued breastfeeding him. They are reusable until they are full of any leaked milk, so may last awhile. I highly recommend them!!
8210979|183273|62|10|0|0|0|4.9674096386|5|NonRx:medicine & health:digestion & nausea:antacid tablets:|Tums|"I really like this product! The nice thing is that this children's version doesn't cost any more than the adult version of tums. Just to give you the backgroud, we have a 3-year-old boy that I give them too. He used to be on prescription meds for acid reflux but doesn't need it all the time anymore. These are great! They are all scored so that it's easy to break them in half. I call them ""tummy candy"" and they taste great like candy. They can also be used as a calcium supplement, so unlike other meds, it's all good if my son wants one when his tummy isn't really hurting or sick."
8215805|232091|63|6|1|1|1|9.8066666667|5|NonRx:vitamins:fish oil & omegas:fish oil & fish oil combinations:|OmegaWorks|Breaks down food quickly allowing your system to work properly.
8272658|233001|69|1|2|0|1|39.99|5|NonRx:medicine & health:diabetes management:lancets & tips:|AutoPen|I use the AutoPen 3 times a day on average.  It is quick and easy to use.  The release button on the side of the pen makes it possible to give injections at hard to reach places.  LOVE THIS PEN!!!
8290805|270954|74|8|0|0|1|12.451428571|5|NonRx:vitamins:supplements a-z:supplements a-d:|Jarrow Formulas|Good for healing and increasing blood flow. My husband is a type II diabetic and it helps heal and prevent sores. Better price here than in local pharmacies.
8296400|271083|61|6|0|2|1|16.55712963|4|NonRx:vitamins:vitamins a-k:vitamin k:|Jarrow Formulas|My naturopath suggests Vitamin K2 supplementation to reduce or improve bone loss. I just started taking this supplement and won't know results until next bone density test. Strontium is also advised.
8452476|186910|65|10|1|0|1|5.3228571429|5|NonRx:vitamins:calcium & minerals:chromium:|Sundown Naturals|Seems to be as good as the more expensive one I've been buying in the store. Eye doctor suggested I take this to help keep my eyes healthy and free of macular degeneration.
8587273|220898|75|3|4|0|0|34.99|4|NonRx:medicine & health:home tests:|Q. Steps Biometer|I purchased this unit after a diagnosis of high cholesterol and being put on cholesterol medicine.  I hoped this would allow me to see my progress between doctor's appointments with dietary and exercise changes.  $@$@This unit is easy to use (though I'm too chicken to test my own finger, so I get help with that part).  I've only had one single strip that was a dud - other than that the results have been easy to read and seem accurate.$@$@The only complaint I have is that the cholesterol test strips are a bit expensive to test with real frequency.
8659734|277447|61|8|1|0|1|12.9448|5|NonRx:vitamins:fish oil & omegas:dha:|Carlson for Kids|My kids really like the taste of these and they are small enough they can either  chew them up or swallow them.
8669703|213404|113|2|6|0|0|8.5496296296|1|NonRx:beauty:hair care:hair color:permanent hair color:all permanent hair color:|L'Oreal Paris Excellence|I have naturally light brown hair but am getting some grey strands that I want to cover up, but I want to keep my light brown color hair.  This color is hugely misrepresented on the box. It was called Light Beige Brown and a cooler color - all other hair dye companies classify cool colors as ones that won't cause red tones, but L'oreal must have a different definition of cool because my hair turned out very dark brown with red/auburn tones in it. Why does L'oral even sell the medium brown and dark brown colors labeled as warmer when this one that's labeled light brown and cooler give you dark brown hair with red tones?
8737165|274389|100|8|1|1|1|54.329911504|5|NonRx:baby & mom:furniture:play yards & swings:|Fisher-Price|i think it's very funny.
8778562|276492|89|0|6|7|1|32.43|2|NonRx:diet & fitness:weight loss:fat burners & thermogenics:|Zantrex-3|Hope this product will work better.
8808270|33364|95|3|1|0|1|16.388|5|NonRx:vitamins:by condition:hair, skin & nails:|Twinlab|"I bought this when my dermatologist recommended something pricier that contained the same ingredients. I damaged my big toenail 12 years ago – grew with a missing ""V"" down the middle. After 6 months, I have a beautiful nail that looks great in sandals. I only take one a day, but plan to take 2 since my fingernails still need help. I'm 65+"
8839931|232841|94|14|3|0|1|15.37|5|NonRx:vitamins:supplements a-z:lutein:|Nature's Bounty|after being diagnosed with macular degeneration, my eye doctor recommended lutein. After reading some medical reports on the problem it was clear that the higher the dosage the better the results could be. Not many lutein pills are one time a day, and very few are with a high mg. So this seems like the best purchase for me.
8873306|13312|64|3|1|2|0|19.460588235|3|NonRx:beauty:hair care:shampoos:all shampoos:|RID|in our school district, lice run rampant.  i can't tell u how many times my kids have been infested.  both rid and nix contain pesticides and the lice are becoming immune to them.  I usually use a combination of both$@$@PLUS I use the ROBI COMB!  it is a comb that sends an electrical current and will ZAP the lice and kill them.  You can also HEAR when it stops buzzing so you can see if you found a nit or a live lice bug or not.  At first glance the comb may seem expensive but it is WELL worth the price.  You can keep it onhand and check your keeps weekly and prevent a major infestation!
8993957|45372|65|21|1|0|0|2.3447513812|5|NonRx:beauty:tools & accessories:nail implements:nail files:|Revlon|Quick nail shaper for gentle to hard-as-nails jobs.  Lasts.
8995851|277375|180|2|2|1|1|35.19|3|NonRx:beauty:hair care:hair regrowth:all regrowth treatments:|HairSil|I have been using this product for 30 days and I have not seen any change in hair growth or hair loss.  I imagine it might take awhile to work so I will review again later. The product seems very gentle on the scalp and soothes scalp dryness.  I would like to see a better dispenser for the product as it is easy to dispense too much (thus the reviews that say there's not enough in the bottle for 45 days).  Perhaps a long, thin plastic tip would be useful in application to the scalp.  I have my fingers crossed, hoping for some improvement in my hair (before I go bald!).  By the way, I am a healthy, 41 year old female.
9002989|298540|107|9|1|0|1|5.0050943396|5|NonRx:medicine & health:sleep & snoring aids:sleep aids:|Boiron|I often can't get to sleep because my mind keeps going on thinking and thinking.  I actually need to keep a notepad on my nightstand to write thoughts so they don't continue to circle in my head.  My sister recommended the product to me.  Now I dissolve a few tablets in my mouth when I wake up in the middle of the night. It works about 90% of the time, I go right back to bed before my mind takes over.
9170936|41262|86|8|0|0|0|5.7854545455|5|NonRx:vitamins:by condition:digestion:|Nature's Way|I suffer from IBS and have found that chamomile helps relieve stomach cramping, gas and bloating. It's not a miracle cure, but it does help ease the pain.
9241205|266279|111|9|1|6|1|8.8228571429|2|NonRx:household, food & pets:outdoor & garden:insect & pest control:|Off!|n/a
9334791|149753|63|1|0|0|0|9.4344444444|5|NonRx:beauty:hair care:hair color:permanent hair color:all permanent hair color:|L'Oreal Paris Excellence|I have never written a review for a product before but I just want to share with all fellow frustrated blondes who either get an overly gray or brassy tone this is the only box color I have found that I am perfectly happy with and I have tried many through the years! My hair is light, yet natural looking and  this product didn't dry out my hair at all!$@Thank you Loreal! No more expensive salons for me.
9335514|184720|69|2|2|0|1|3.4877272727|5|NonRx:beauty:hair care:ethnic hair care:ethnic conditioners & relaxers:|Motions at Home|I have been using this product for years,i love how it leaves my hair,I don't put too much since i use it in a dayly bases,since my hair is weavy and dry,it does styles and conditions really nice.
9346297|17292|118|10|1|0|1|7.8226785714|5|NonRx:vitamins:multivitamins:|Flintstones|I'm giving this to my 9 year old boy 3 years ago.  Is complete, and with the extra iron is just perfect, even when we eat healthy kids need extra support.  He took 1 after breakfast, and 10 minutes later he has a FOCUS FOR KID.  And I think that taking fthis 2 vitamins are doing EXCELLENT JOB!
9354165|271091|65|0|0|0|1|19.99|5|NonRx:vitamins:bone & joint:other bone & joint care supplements:|Jarrow Formulas|Easy to use with great results
9523843|264236|130|8|1|0|1|17.100862069|5|NonRx:beauty:hair care:salon hair care:salon shampoos:daily:|Macadamia Natural Oil|This is the first time that I have tried this shampoo and I really like how it makes my hair feel.  Soft, managable and less frizz.  Smells good too!
9528702|231231|62|6|1|0|0|5.1979166667|2|NonRx:personal care:antiperspirants & deodorants:for women:|Secret|Like most Secret deodorants this works very well at controlling sweat. My main complaint is the smell is strange. I don't know if the batch I got was off but it goes on smelling fine but then quickly sours. It actually starts to smell like lye. If you've ever used Nair you know the smell. If I had realized this before the return date it would have gone back. Also with regular use it can leave a clumpy residue under your arms. You have to be careful not to use too much.
9560488|302294|170|11|15|0|0|10.625542169|5|NonRx:vitamins:supplements a-z:supplements a-d:|Only Natural|"You may experience ""heat"" when taking this product but, that does go away over time.  Drink a full glass of water or juice and take this while eating a meal esp. pasta dishes.  The Cayenne helps circulation through out the body which is a great alternative to asprin.  The Apple Cider works wonders to take out the fat from most foods stopping the absorption into your system.  I've been using this product over 9 months now and I have lost way, my chronic ear infections (since birth) have pretty much disappeared.  It is worth a 2 month try.  Also, my acid reflex is completely gone.  I'm not sure if this product is to take for that but, it disappeared fast after beginning taking it."
9601009|148986|87|3|2|0|0|4.727804878|4|bronzers:|Rimmel Natural Bronzer|"I love this Rimmel bronzer and I bought it in two shades, ""sun dance"" and ""sun light"".  These shades are perfect for fair complexions and can be used all over the face or just to high light the points where the sun hits the face.  The ""sun light"" shade is matte and the ""sun dance"" has a bit of shimmer.  Both are in the golden range but, be careful to shake off any excess on the brush before applying (and please use a big fluffy brush).  I have not tried the ""sun bronze"" as it looked as if it might be too dark for me"
9614608|263162|230|5|0|0|1|59.244444444|5|NonRx:beauty:hair care:hair dryers:professional hair dryers:|BaByliss PRO|Best blow dryer I've ever owned. It's fast and keeps a constant temperature. I would buy this again.
9619217|263315|62|3|0|0|1|105|5|NonRx:beauty:hair care:flat irons:all flat irons:|BaByliss PRO|This is the best straightener ever!!! I use to go to the hair salon here in Virginia and was not impressed. Someone said this straightener would make my hair just as straight and it did. I get to keep my $55 dollars and do it myself. :-) plus I can so my daughters hair in no time.
9622177|311282|159|8|1|2|1|5.3546078431|4|NonRx:vitamins:supplements a-z:supplements a-d:|Sundown Naturals|Compared to the other companies Sundown is a bargin on this one...have no clue as to the long term results but I will give it 4 months to see if it yields any results
9624421|311599|74|5|0|0|1|21.641111111|5|NonRx:beauty:hair care:flat irons:all flat irons:|Conair|I use this steam straightener on my bangs every morning. We live on the coast where the air is always humid and I despise curls in my hair. This conair works very well to touch up my self-willed curls and discourage my hair from following it's natural affinity to curl.
9625008|310178|66|2|4|0|0|8.0785714286|4|NonRx:vitamins:vitamins a-k:vitamin b:biotin:|Sundown Naturals|So out of the blue I started experiencing hair loss. I went to the Dr (First) to get blood work done. Im not Deficient in anything and everything is normal. So he said it maybe due to stress. $@Anyway, My hair didn't stop falling out. So Dr recommended i take Biotin for hair thinning. I took this pill for about 3 Months. Once Daily with a Meal as directed. Did not experience any stomach problems and I'm very sensitive. $@It did help A lot with my hair fallout. Also my nails were stronger.  $@So it does help, BUT i also started getting Cystic acne on my Jaw line. I thought it was (that time of the month) but it didn't go away after. So i researched and read Biotin sometimes makes you breakout. They were very painful bumps(the ones you ge
9729050|306854|64|0|6|0|0|5.99|1|NonRx:household, food & pets:home accessories:home safety:smoke, fire & carbon mo|Family Gard|These thing are useless, even worse, potentially fatal.  I was in my kitchen when I smelled something burning.  Apparently, when I was lighting my woodstove a spark must have shot out and ignited a rag I keep there to clean the glass.  It was smoldering and trying to flame.  The smoke alarm was right by the stove (about 7 ft.) and was quite as a dead mouse.  I experimented by putting it directly over a smoking object, then practicall put it into the stove.  Nothing.  I had another one in another room and tried that one.  The same.  P.S.  They both worked when I pressed the test button. [...]
9835022|264556|61|3|2|1|1|6.5886885246|5|NonRx:household, food & pets:food & snacks:condiments & oils:cooking oils:|Spectrum Naturals|I've used other organic sunflower oil, but this is the only one I've found in a glass bottle. This makes a difference in flavor and blending. This oil makes excellent mayonnaise (uncooked) and leaves no odor or obvious flavor when cooked. It's light and healthy. Highly recommended.
9851391|315852|77|2|1|0|0|85.99|5|NonRx:medicine & health:first aid:hemorrhoids:|LMX|I found LMX5 by accident. I had a shingles attack  in 2001 and have used LMX5 on my forehead to deaded the chronic pain.  It works like magic.  There is not a compound pharmacist who can replicate the ingredients.
9880945|269532|67|3|11|0|1|42.196818182|5|NonRx:vitamins:by condition:cleansing & detox:|Flora|My father used this product when he had prostrate cancer.  He did not want radiation or chemo or other treatments because he is 86.  He used this product twice daily for 4 months -- he no longer has prostrate cancer -- PSA is now 3.3.$@$@I  have a desmoid tumor resulting from breast cancer surgery.  i am taking Flor Essance in the hope it will get rid of this tumor to avoid surgery.  The product has helped decrease my pain and I believe the tumor is getting smaller even though I have only used the product a month. It seems to have stopped the tumor from getting any bigger.  I will have this tumor measured again in December and I will know if it has indeed gotten smaller.
